sentence,source,target,relation
car is moving between the stones and trees,car,stones,"['moving', 'between']"
The mom and child are running because it began raining hard.,it,,['running']
autumn colors decorate the valley as a stiff wind whips up waves .,autumn,colors,['decorate']
tourist by the waterfall in the rain forest,,rain,"['tourist', 'by']"
athlete leads the way against team usa before event,athlete,team,['leads']
a cross section of a salmon for sale at a fish market,,fish,"['section', 'of']"
A train shaped cake is on some tin foil.,shaped,,"['is', 'on']"
A motorcycle in a parking lot on a clear day,,clear,"['motorcycle', 'in']"
batting at the crease at a game of cricket,,cricket,"['batting', 'at']"
woman smiling while offering a strawberry to her friend,woman,friend,['smiling']
double bedroom on the ground floor with access to terrace,,double,"['bedroom', 'on']"
remodeling and other things that will increase the value of your home,other,,['remodeling']
living room with the grand stained glass window,,stained,"['room', 'with']"
this ship gave tours around the harbor every day .,ship,harbor,['gave']
cantilever bridge is a historic bridge built by the architect,cantilever,,['is']
a painting of clouds in the northern sky with field and trees,,northern,"['painting', 'of']"
the players brought a smile to sick children and their families during what must be a difficult time,sick,,['brought']
wedding cake with a soft purple colouring on small flowers .,,small,"['cake', 'with']"
A bunch of elephants grazing in an expansive plain.,,expansive,"['bunch', 'of']"
i sent these home for kids to decorate with their parents .,kids,parents,['sent']
politician with an united family at the airport to see off politician who was leaving for democracie .,united,,"['politician', 'with']"
bedroom at the cottage of job title,,job,"['bedroom', 'at']"
engine mounted in the frame,engine,frame,"['mounted', 'in']"
the bronze medal for biography awarded by award for the biography of politician .,,bronze,"['medal', 'for']"
rolling clouds and blue skies roll over the peak .,rolling,,"['roll', 'over']"
freshly pulverized red food fills the container of a food processor. ,red,,['fills']
country built camps throughout continent .,country,continent,['built']
profession pray at one of the temples built into the mountain,profession,mountain,"['pray', 'at']"
The piece of citrus fruit is a round orange. ,piece,citrus,['is']
a horrified customer discovered a giant caterpillar inside a vegetable he bought from a supermarket,giant,,['discovered']
many students celebrate holiday with chocolates and sweets .,many,,['celebrate']
A lady is taking a bagel out of the oven.,lady,oven,['taking']
image titled send a tweet from a step,,step,['image']
buddhist place of worship is the most sacred pagoda as it is believed to contain relics of the four,sacred,,['is']
Someone takes a deep breath and makes no move to meet her.,Someone,deep,['takes']
smoke rises in the distance,smoke,distance,"['rises', 'in']"
a home has a secret room that makes it unlike any place on the market,it,market,['has']
the architecture looks fitting for a city like german city .,architecture,german,"['looks', 'fitting']"
lion sleeping in a tree,,tree,['lion']
close up red maple leaf on the tree against sky in autumn .,,red,['close']
The zebra and the giraffe co exist in this paradise. ,zebra,giraffe,"['exist', 'in']"
manager in action during a training session,,training,"['manager', 'in']"
dead tree on a littered beach,,littered,"['tree', 'on']"
Tourist walking around an art museum.,Tourist,art,"['walking', 'around']"
or are a mountain range that form a natural border,mountain,that,['are']
soldiers perform during an open day at a naval base .,soldiers,naval,"['perform', 'during']"
national park with horses grazing in a meadow with the towering peaks above,,towering,"['park', 'with']"
ideas for joining chairs into a bench .,,bench,"['ideas', 'for']"
the contrast of pale skin against dark brown hair and eyes is both dramatic,contrast,brown,['is']
reflection of fall foliage within tourist attraction,,tourist,"['reflection', 'of']"
A couple who have been married for years are getting a divorce.,who,divorce,['getting']
A clock that is in the middle of a tree.,that,tree,['clock']
the official flag was adopted by the state and is meant to resemble coat of arm .,official,,"['adopted', 'by']"
athlete making a tackle against country .,,country,['athlete']
cricketer reacts after being dismissed during the fifth and final international cricket match against cricket team,cricketer,international,"['reacts', 'after']"
a doctor takes notes while doing her rounds at hospital .,doctor,hospital,['takes']
light is easily controlled with this layered treatment in a shallow bay window .,light,shallow,"['controlled', 'with']"
a cup of coffee shared with friends is happiness tasted and time well spent .,time,friends,['is']
person gives a toast to her sister the bride,person,sister,['gives']
duck floats on the water and clean the feathers,duck,feathers,"['floats', 'on']"
rooms that prove sometimes more is more when it comes to decorating .,when,,"['is', 'more']"
A man in orange shirt next to hotdog and tray of food.,,next,"['man', 'in']"
hall in the museum with copies of sculptures made at the time,,time,"['hall', 'in']"
young family with children on a picnic by the lake in summer,,young,"['family', 'with']"
get the recipe for dish made with easy to find ingredients and a homemade crumb topping .,,ingredients,['get']
employees walking to work in the city at sunrise,employees,sunrise,['walking']
i love my dog more than anything else in the world .,i,else,['love']
translate any text up to words between human languages using correct grammar,,correct,['translate']
towering cloud above the sea and volcanic rocks,,sea,"['cloud', 'above']"
airplane tows a glider up in the sky,airplane,sky,['tows']
slow motion shot of rain wiped on the windshield,slow,motion,"['wiped', 'on']"
athlete and his daughter leave a local church .,athlete,local,['leave']
A snowboarder grinds a rail with snow all around,snowboarder,snow,['grinds']
computer with venture funded company,,funded,"['computer', 'with']"
the players embrace at the end of the match,players,match,"['embrace', 'at']"
"Fresh mushrooms, tomatoes and green pepper are the vegetable toppings on this pizza.",Fresh,,['are']
many homes had inner court yards with the living space around the courtyard .,many,,"['had', 'inner']"
time in students sketching before a painting at museum .,,museum,"['time', 'in']"
the cargo ship is loaded by coal in port,cargo,ship,"['loaded', 'by']"
sun rising through a forest on a misty summer morning,,misty,['sun']
a video showing clouds moving over palm trees on beach .,clouds,palm,['video']
people gather at a city to protest a rally .,people,rally,"['gather', 'at']"
politician presents a gift to religious leader during a private audience .,politician,private,['presents']
food and drink tour with tours in a dish,,dish,['food']
heavy thick smoke covering the sky as it billows up from a fire .,thick,,['smoke']
A yummy meal with noodles and broccoli and cheese.,,yummy,"['meal', 'with']"
A grown up and a child mount an elephant to ride it.,child,it,['grown']
this living room has two windows and a brown couch,living,room,['has']
players observe a minutes silence in memory of statesman during day,players,minutes,['observe']
Tourists touring a museum with Roman art.,,Roman,['Tourists']
young parents helping baby learn the places on globe,young,,['parents']
coach instructs his team during a training session,coach,training,['instructs']
reeds and trees grow along the shore of the lake .,reeds,lake,"['grow', 'along']"
big bales hay on the field after harvest,,big,"['hay', 'on']"
fishermen fixing their nets to get ready to go out,,nets,['fishermen']
cat reaching at a goldfish jumping out of its aquarium,,aquarium,['cat']
A zebra walks next to a chain linked fence.,zebra,linked,['walks']
wide shot of statue under a great sky as seen when approaching the city by sea,,when,"['shot', 'of']"
a town an ancient city in the southwest of country hewn from towering walls of rock,ancient,,['town']
Two giraffes looking across the plains at sunrise.,,Two,['giraffes']
transgenic organisms term used to refer to an organism that contains genes from other organisms,that,other,['used']
The family of elephants are traveling through the field.,family,field,"['traveling', 'through']"
zoom out from the earth into deep space,,deep,['zoom']
